"m00","m10","m01","m11"
-0.0003926965895599054,0.0899988576890317,-0.00031391665114531087,0.05713592804651327
-0.0033866655397974295,0.08988682903736288,-0.004104390549881256,0.057208379816129994
-0.006377213750948179,0.08957566353406414,-0.007920836267254632,0.05698922355608601
-0.00934900492110049,0.089064661653993,-0.011736033087563096,0.05647608970058966
-0.01228665072759903,0.08835454884673524,-0.015522862162162497,0.05566960948030616
-0.01517486563610545,0.0874474610729025,-0.019254687131849368,0.05457330130371134
-0.017998614568278525,0.0863469112617663,-0.02290569595754782,0.053193408273585784
-0.020743251102003684,0.08505773885146886,-0.02645119895389653,0.051538697099155
-0.023394644416561926,0.08358604477910404,-0.029867880430435038,0.04962022857700754
-0.02593929371767085,0.08193911437412658,-0.0331340034533319,0.04745110925006516
-0.028364429361667016,0.08012533059229658,-0.036229568983501506,0.04504623294082181
-0.030658100328873332,0.07815407992854545,-0.03913643199960806,0.04242201971500001
-0.03280924806405622,0.07603565318618134,-0.041838378187700274,0.03959615857963359
-0.034807767003128647,0.07378114307604165,-0.044321165400237776,0.03658735894138723
-0.03664455234027404,0.07140234038999682,-0.046572534404775684,0.03341511462118941
-0.038311535762126966,0.06891163025345363,-0.048582193506111516,0.03009948308660092
-0.03980170999141227,0.06632188972315516,-0.050341781492097996,0.026660881556352573
-0.04110914304856185,0.06364638776888837,-0.0518448130727303,0.023119900765233528
-0.04222898316380064,0.06089868846729989,-0.05308661059926343,0.01949713645217297
-0.04315745526115873,0.05809255804724424,-0.05406422540661495,0.015813038041796068
-0.043891849896543524,0.05524187626159602,-0.05477635164447109,0.012087773509299737
-0.04443050546960745,0.05236055242127744,-0.05522323497440199,0.008341109025416899
-0.04477278444762121,0.04946244631380598,-0.055406578023961726,0.00459230163914786
-0.04491904424088562,0.04656129414057129,-0.05532944400832205,0.0008600029273535386
-0.04487060325260284,0.04367063954418108,-0.05499615944748444,-0.002837828835199755
-0.04462970248770399,0.040803769760059234,-0.05441221640543807,-0.006484010936475728
-0.04419946293534942,0.03797365691673048,-0.053584174116420115,-0.010062216630260185
-0.04358383872145982,0.03519290453150459,-0.05251955917724604,-0.013557058617114835
-0.04278756572949598,0.032473699311567565,-0.051226762548986136,-0.016954182581177132
-0.04181610495448451,0.029827768492171988,-0.04971493021510493,-0.020240381268125652
-0.040675579187406115,0.027266343156188803,-0.047993842073290716,-0.023403745778354624
-0.005102334690459968,0.08985496523090182,-0.003303749869427599,0.057041196114742135
-0.00808633738369213,0.08958639788263434,-0.007092820888064603,0.056915170515622435
-0.011056502008290406,0.08911914562052187,-0.010892566546786449,0.056496577265547944
-0.013997476669893262,0.08845331251812376,-0.014675679421442087,0.055784474668321204
-0.016893932102100034,0.08759042839340274,-0.018415110864881314,0.05478091238040282
-0.019730715506413383,0.08653342626276692,-0.02208444516138672,0.05349079802774263
-0.022492996262054248,0.08528660111634236,-0.025658232385135073,0.051921717054912456
-0.02516640129594301,0.08385555229449725,-0.029112275501230325,0.05008371631496169
-0.027737138451536615,0.08224711192321667,-0.03242386964991972,0.04798906169499585
-0.030192106721605924,0.0804692619246451,-0.03557199363054777,0.04565197939909425
-0.03251899269284573,0.07853104207750344,-0.038537455294452794,0.04308838950711778
-0.03470635297522747,0.07644245148090176,-0.041302993847264935,0.0403156392187034
-0.036743682747907916,0.0742143455950233,-0.04385334296727939,0.03735224189034122
-0.03862147084375821,0.07185833081288913,-0.046175259200020524,0.03421762666451286
-0.04033124201714813,0.0693866582762189,-0.04825752034165024,0.030931902245198022
-0.04186558719943529,0.06681211839993008,-0.05009089852811985,0.02751563723760361
-0.04321818264965413,0.06414793732576592,-0.05166811256070212,0.02398965847140585
-0.044383798962033684,0.061407676294671566,-0.052983763673049085,0.02037486787635868
-0.04535830090489771,0.05860513471621128,-0.05403425852466363,0.01669207777487147
